text,ipa
ভ ি ক ্ ষ ু,b ʱ i k k ʰ u
ক ্ ল া ব ে,k l ɐ b e
খ - ব ি ভ া গ,k ʰ o - b i b ʱ ɐ g
আ স ্ থ া,ɐ s t ̪ ʰ ɐ
হ জ য া ত ্ র া,h ɔ ɟ ɟ ɐ t ̪ ɾ ɐ
র া ত ্ র ি য া প ন,ɾ ɐ t ̪ ɾ i ɟ ɐ p o n
ক া জ ি প ু র,k ɐ ɟ i p u ɾ
ব ে জ ে,b e ɟ e
গ ু র ু ত ্ ব প ূ র ্ ণ স ্ থ া ন ে,g u ɾ u t ̪ t ̪ o p u ɾ n o s t ̪ ʰ ɐ n e
স ৃ জ ন শ ী ল,s ɾ i ɟ ɔ n ʃ i l
উ ৎ প া দ ন ও,u t ̪ p ɐ d ̪ o n o
স া জ া প ্ র া প ্ ত,ʃ ɐ ɟ ɐ p ɾ ɐ p t ̪ o
খ ি ল ি,k ʰ i l i
স ্ ক ু ল ট ি ত ে,s k u l t i t ̪ e
ম ু ক ্ ত ি য ু দ ্ ধ ম ন ্ ত ্ র ী ও ।,m u k t ̪ i ɟ u d ̪ d ̪ ʱ o m ɔ n t ̪ ɾ i ͡ o ̯ ।
আ ম ন ্ ত ্ র ি ত,ɐ m n t ̪ ɾ i t ̪ o
হ ঠ া ৎ ই,h ɔ t ʰ ɐ t ̪ i
স হ া ন ু ভ ূ ত ি শ ী ল,ʃ ɔ h ɐ n u b ʱ u t ̪ i ʃ i l
ল ো প,l o p
' স ু ই স া ই ড,' ʃ u ͡ i ̯ ʃ ɐ ͡ i ̯ d
এ গ ো চ ্ ছ ে ।,e g o c c ʰ e ।
হ ত ে ও,h o t ̪ e ͡ o ̯
ছ ে য় ে,c ʰ e ʲ e
জ ী ব ন য া প ন ।,ɟ i b ɔ n ɟ ɐ p o n ।
ট ্ র া ই ব ্ য ু ন া ল ে ।,t ɾ ɐ ͡ i ̯ b u n ɐ l e ।
ফ ে স ব ু ক ে ।,p ʰ e s b u k e ।
অ ন ে ক ে,ɔ n e k e
ই উ জ ি স ি ত ে,i ͡ u ̯ ɟ i ʃ i t ̪ e
ভ ূ ম ি ষ ্ ঠ,b ʱ u m i ʃ t ʰ o
স া ম া ল,ʃ ɐ m ɐ l
চ র া ঞ ্ চ ল,c ɔ ɾ ɐ n c ɔ l
ট ে ন া ম ে ন ্ ট,t e n ɐ m e n t
ক ে য় া র ট ে ক া র,k e ʲ ɐ ɾ t e k ɐ ɾ
চ া ঁ দ,c ɐ ̃ d ̪
ফ া ই ন,p ʰ ɐ ͡ i ̯ n
উ প ভ ো গ ই,u p o b ʱ o g i
এ ই চ প ি,e ͡ i ̯ c o p i
ব ি প দ ।,b i p ɔ d ̪ ।
ঈ শ ্ ব র দ ী,i ʃ ʃ o ɾ o d ̪ i
ন া ড় ল ে ন ।,n ɐ ɽ l e n ।
প া র ম ি ট,p ɐ ɾ m i t
প র ি ব ে শ গ ত,p o ɾ i b e ʃ g ɔ t ̪
ম ম ত া,m ɔ m o t ̪ ɐ
অ ত ি থ ি দ ে র,o t ̪ i t ̪ ʰ i d ̪ e ɾ
র ে শ ম ি র,ɾ e ʃ m i ɾ
র ি ফ া ত ে র,ɾ i p ʰ ɐ t ̪ e ɾ
প ্ র ত ি ক ্ র ি য় া শ ী ল,p ɾ o t ̪ i k ɾ i ʲ ɐ ʃ i l
ম া ঠ ে ই,m ɐ t ʰ e ͡ i ̯
গ ু য় ে ভ া র া র,g u ʲ e b ʱ ɐ ɾ ɐ ɾ
আ ন ি ।,ɐ n i ।
প ে ল ে ন,p e l e n
ম ু ন ি র,m u n i ɾ
ব ে ক স ু র,b e k ʃ u ɾ
আ র ্ ট ি ল া র ি র,ɐ ɾ t i l ɐ ɾ i ɾ
ত া জ উ দ ্ দ ি ন ে র,t ̪ ɐ ɟ u d ̪ d ̪ i n e ɾ
র া জ া ক া র দ ে র,ɾ ɐ ɟ ɐ k ɐ ɾ d ̪ e ɾ
ঢ া ব ি র,d ʱ ɐ b i ɾ
স ্ প ী ড ব ো ট ে,s p i d b o t e
আ ফ র ো জ া,ɐ p ʰ ɾ o ɟ ɐ
গ ো চ র,g o c o ɾ
গ ঠ ন ে র,g ɔ t ʰ o n e ɾ
ব া য় ো ম ে ট ্ র ি ক,b ɐ ʲ o m e t ɾ i k
গ ু র ু ত ্ ব ব হ,g u ɾ u t ̪ t ̪ ɔ b o h o
হ া ব ি ব প ু র,h ɐ b i b p u ɾ
শ ি ক ্ ষ া প ্ র ত ি ষ ্ ঠ া ন ে র,ʃ i k k ʰ ɐ p ɾ o t ̪ i ʃ t ʰ ɐ n e ɾ
e x a m . b o u . e d u . b d,. . .
ড ে ভ ি স ।,d e b ʱ i ʃ ।
চ ো র ে র,c o ɾ e ɾ
জ া ম ত ৈ ল,ɟ ɐ m t ̪ o ͡ i ̯ l
দ প ্ ত র,d ̪ o p t ̪ o ɾ
ম স ্ ত ি ষ ্ ক ে র,m ɔ s t ̪ i ʃ k e ɾ
"থ ি য় ে ট া র ,","t ̪ ʰ i ʲ e t ɐ ɾ ,"
ফ ত ু ল ্ ল া র,p ʰ o t ̪ u l l ɐ ɾ
স ং স দ ব ি ষ য় ক ম ন ্ ত ্ র ী,ʃ ɔ ŋ ʃ ɔ d ̪ b i ʃ ɔ ʲ k m ɔ n t ̪ ɾ i
প র া ম র ্ শ ক র া,p ɔ ɾ ɐ m ɔ ɾ ʃ o k ɔ ɾ ɐ
র ি প া ব ল ি ক া ন ে র,ɾ i p ɐ b o l i k ɐ n e ɾ
ব ি ষ য ় ট ি,b i ʃ ɔ ʲ t i
ব া ব ে ল,b ɐ b e l
হ ি ল া র ি,h i l ɐ ɾ i
র া ন ক ে,ɾ ɐ n k e
ম ি ড ি য় া র,m i d i ʲ ɐ ɾ
স প ্ ত া হ ে র,ʃ ɔ p t ̪ ɐ h e ɾ
স া ম গ ্ র ী,ʃ ɐ m o g ɾ i
ম ড ে ল ।,m ɔ d e l ।
ত া স ভ া র,t ̪ ɐ ʃ b ʱ ɐ ɾ
ম ড ু ল া স ে র,m o d u l ɐ ʃ e ɾ
আ ম ল া,ɐ m l ɐ
আ ত ্ ম গ ো প ন ে,ɐ t ̪ t ̪ o g o p o n e
র া জ স ্ ব খ া ত ে,ɾ ɐ ɟ o ʃ k ʰ ɐ t ̪ e
ক ৃ ষ ক স হ,k ɾ i ʃ ɔ k ʃ ɔ h o
দ ূ র ত ি ক ্ র ম ্ য,d ̪ u ɾ o t ̪ i k ɾ o m m o
ব হ ু,b o h u
স ে ক শ ন,ʃ e k ʃ o n
ম া ল দ ্ ব ী প ে,m ɐ l o d ̪ d ̪ i p e
ভ া র ত ি,b ʱ ɐ ɾ t ̪ i
প ্ ল ্ য া ঙ ্ ক,p l ɛ ŋ k o
ব ি শ ্ ব ব ি দ ্ য ল য়,b i ʃ ʃ o b i d ̪ d ̪ o l ɔ ʲ
আ ও য় া ল ।,ɐ ͡ o ̯ ʷ ɐ l ।
ড ু ব ো,d u b o
স ্ থ া ন গ ু ল ো ।,s t ̪ ʰ ɐ n g u l o ।
ক ন ক,k o n o k
স ম ্ ম ত,ʃ ɔ m m ɔ t ̪ ɔ
ভ ে স ে,b ʱ e ʃ e
গ ণ জ া গ র ণ,g ɔ n o ɟ ɐ g o ɾ o n
ট ে ল ি ফ ো ন ে,t e l i p ʰ o n e
ছ ু ড় ত ে,c ʰ u ɽ t ̪ e
ট হ ল ে র,t ɔ h o l e ɾ
ব া ড় া র,b ɐ ɽ ɐ ɾ
ব ্ ল ে জ া র,b l e ɟ ɐ ɾ
ই ত ো ম ধ ্ য ে ই,i t ̪ o m o t d ̪ ʱ e ͡ i ̯
ট ে স ্ ট ট ি,t e s t t i
স ্ প ষ ্ ট ত ই,s p ɔ ʃ t o t ̪ o ͡ i ̯
অ গ ্ র স র ।,ɔ g ɾ o ʃ ɔ ɾ ।
উ ৎ স ু ক,u t ̪ ʃ u k
ক ্ ষ ে ত ে র,k ʰ e t ̪ e ɾ
আ ই ম া ন ে র,ɐ ͡ i ̯ m ɐ n e ɾ
চ া র ্ জ া র,c ɐ ɾ ɟ ɐ ɾ
ত ্ য া গ,t ̪ ɛ g
চ ি ত ্ র া য় ন,c i t ̪ ɾ ɐ ʲ o n
গ ণ হ ত ্ য া র ।,g ɔ n o h o t ̪ t ̪ ɐ ɾ ।
ম ঠ প ু ক ু র,m ɔ t ʰ p u k u ɾ
ল া ল প ু ল,l ɐ l p u l
"ব ্ র ড ,","b ɾ o d ,"
স া ই ন,s ɐ ͡ i ̯ n
অ ব ন ত ি স হ,ɔ b o n t ̪ i ʃ ɔ h o
অ ভ ি য া ন স হ,o b ʱ i ɟ ɐ n ʃ ɔ h o
স া ক ্ ষ র ত া,ʃ ɐ k k ʰ o ɾ o t ̪ ɐ
দ ু ঃ খ ে,d ̪ u k k ʰ e
জ ন স ্ ব া র ্ থ ে,ɟ ɔ n o ʃ ɐ ɾ t ̪ ʰ e
স ত ্ ত ্ ব ে ও,ʃ ɔ t ̪ t ̪ e ͡ o ̯
শ ি ক ্ ষ ক ।,ʃ i k k ʰ ɔ k ।
"ব স ে ছ ি ল ,","b o ʃ e c ʰ i l o ,"
এ এ ফ এ ম,e ͡ e ̯ p ʰ o ͡ e ̯ m
ম া ট ি জ ু র া,m ɐ t i ɟ u ɾ ɐ
ফ ে ল ে ।,p ʰ e l e ।
ম া ত ু ব ্ ব র,m ɐ t ̪ u b b ɔ ɾ
ম ি ন া স,m i n ɐ s
অ ভ ি য ু ক ্ ত ক ে ও,o b ʱ i ɟ u k t ̪ o k e ͡ o ̯
"ম ম ত া জ ,","m ɔ m o t ̪ ɐ ɟ ,"
ত ু ষ া র,t ̪ u ʃ ɐ ɾ
ব া ং ল া দ ে শ ।,b ɐ ŋ l ɐ d ̪ e ʃ ।
ব ি এ ন প ি ই,b i ͡ e ̯ n p i ͡ i ̯
ব ি ক া ল ে র,b i k ɐ l e ɾ
ম া ন ব া ধ ি ক া র ে র,m ɐ n o b ɐ d ̪ ʱ i k ɐ ɾ e ɾ
র া য় প ু র া য় ।,ɾ ɐ ʲ p u ɾ ɐ ʲ ।
প ু ন : প ্ র ত ি ষ ্ ঠ া,p u n o : p ɾ o t ̪ i ʃ t ʰ ɐ
শ ু ন ত ে,ʃ u n t ̪ e
প ্ র চ ণ ্ ড ভ া ব ে,p ɾ o c o n d o b ʱ ɐ b e
র া ব ্ ব ি ক ে,ɾ ɐ b b i k e
স ্ ট ে র য় ে ড,s t e ɾ ɔ ʲ e d
শ া র ্ শ া য়,ʃ ɐ ɾ ʃ ɐ ʲ
ম ্ য া ড া ম ে র,m ɛ d ɐ m e ɾ
ঘ ট া ন ো র,g ʱ ɔ t ɐ n o ɾ
আ ক ৃ ত ি,ɐ k ɾ i t ̪ i
"আ প া ,","ɐ p ɐ ,"
জ ল া শ য় ে,ɟ ɔ l ɐ ʃ ɔ ʲ e
অ প স া র ণ ে র,ɔ p o ʃ ɐ ɾ o n e ɾ
অ র ্ থ া য় ন ে,ɔ ɾ t ̪ ʰ ɐ ʲ o n e
গ ্ য া ং স ্ ট া র ে র ।,g ɛ ŋ s t ɐ ɾ e ɾ ।
হ ৃ ষ ্ ট প ু ষ ্ ট,h ɾ i ʃ t o p u ʃ t o
ল ড় া ই ট ি,l ɔ ɽ ɐ ͡ i ̯ t i
ন া স র ি ন,n ɐ ʃ ɾ i n
দ া য় ি ত ্ ব হ ী ন ত া,d ̪ ɐ ʲ i t ̪ t ̪ o h i n o t ̪ ɐ
ন ি হ ত ে র,n i h o t ̪ e ɾ
আ র া জ ি,ɐ ɾ ɐ ɟ i
স া প ট ি ক ে,ʃ ɐ p t i k e
ক ল ্ প ন া,k ɔ l p o n ɐ
স ম র ্ থ ন য ো গ ্ য,ʃ ɔ m o ɾ t ̪ ʰ o n ɟ o g g o
ন জ র ু ল ে র,n ɔ ɟ o ɾ u l e ɾ
ভ া ঙ া ন ো ই,b ʱ ɐ ŋ ɐ n o ͡ i ̯
হ া র ু ন,h ɐ ɾ u n
ত ী র,t ̪ i ɾ
ব ি .,b i .
ব া স ্ ত ু হ া র া,b ɐ s t ̪ u h ɐ ɾ ɐ
ঘ ো ষ ণ া র,g ʱ o ʃ o n ɐ ɾ
চ ড় - থ া প ্ প ড ়,c ɔ ɽ - t ̪ ʰ ɐ p p o ɽ
এ ল ে,e l e
হ ্ য া ক ি ং য় ে র,h ɛ k i l ɔ ʲ e ɾ
ম া ন স ি ক ত া ত ে ই,m ɐ n o ʃ i k ɔ t ̪ ɐ t ̪ e ͡ i ̯
র ু স ে ফ,ɾ u ʃ e p ʰ
ল ত া,l ɔ t ̪ ɐ
অ ফ া র ে র,ɔ p ʰ ɐ ɾ e ɾ
স ং শ ো ধ ন ী ত ে,ʃ ɔ ŋ ʃ o d ̪ ʱ o n i t ̪ e
প ্ র স ্ ত ু ত ি,p ɾ o s t ̪ u t ̪ i
ম ম ি ন ু র,m o m i n u ɾ
ম ি শ ্ র ণ ট ি,m i s ɾ o n t i
অ ত ি থ ি র া,o t ̪ i t ̪ i ɾ ɐ
প া ল প া ড় া,p ɐ l p ɐ ɽ ɐ
অ স ্ থ া য় ী ভ া ব ে,ɔ s t ̪ ʰ ɐ ʲ i b ʱ ɐ b e
আ ং ক া র া য়,ɐ ŋ k ɐ ɾ ɐ ʲ
দ ল ক ে ই,d ̪ ɔ l k e ͡ i ̯
প া য় ু,p ɐ ʲ u
শ া ক - স ব জ ি,ʃ ɐ k - s b o ɟ i
য শ ো র ে,ɟ ɔ ʃ o ɾ e
ন ি য় ন ্ ত ্ র ক,n i ʲ o n t ̪ ɾ o k
আ ব া র শ হ র গ ু ল ো র,ɐ b ɐ ɾ ʃ o h ɔ ɾ g u l o ɾ
প শ ্ চ ি ম,p o ʃ c i m
প ণ,p ɔ n
প র ি ক ্ র া ণ ে র,p o ɾ i k ɾ ɐ n e ɾ
ব ল ট ি,b o l t i
প ড ় ল ে,p ɔ ɽ l e
জ ল ব া য় ু,ɟ ɔ l b ɐ ʲ u
ঋ ষ ি জ,ɾ i ʃ i ɟ
স ং স ্ ক ৃ ত ি,ʃ ɔ ŋ s k ɾ i t ̪ i
র া জ ্ য স ভ া য়,ɾ ɐ ɟ ɟ o ʃ b ʱ ɐ ʲ
ব ি প ্ ল ব ে র,b i p l ɔ b e ɾ
ম য় ম ন স ি ং হ গ া ম ী,m ɔ ʲ m ɔ n ʃ i ŋ h o g ɐ m i
ধ ে া ঁ য় া র,d ̪ ʱ e ͡ ɐ ̯ ̃ ʲ ɐ ɾ
ব ্ য া ক,b ɛ k
চ া ন প ু র,c ɐ n p u ɾ
ক ল া ব া গ া ন,k ɔ l ɐ b ɐ g ɐ n
ই ন ্ স ট ি ট ি উ শ ন ে,i n ʃ o t i t i ͡ u ̯ ʃ ɔ n e
ড ি ল ে র,d i l e ɾ
ক া ঁ দ ল ে ন,k ɐ ̃ d ̪ l e n
দ ে ড় ট া য় ।,d ̪ e ɽ t ɐ ʲ ।
য া ঁ ত া র,ɟ ɐ ̃ t ̪ ɐ ɾ
ত ্ র ি ম ো হ ন ী,t ̪ ɾ i m o h o n i
র া ক ি ব ে র,ɾ ɐ k i b e ɾ
ম া ম ু ন ।,m ɐ m u n ।
ড ি জ া ই ন া র,d i ɟ ɐ ͡ i ̯ n ɐ ɾ
ম া ল শ া প া ড় া য়,m ɐ l ʃ ɐ p ɐ ɽ ɐ ʲ
ব ি ক ্ ষ ো ভ ে,b i k k ʰ o b ʱ e
চ র জ গ ব ন ্ ধ ু,c ɔ ɾ ɟ ɔ g ɔ b ɔ n d ̪ ʱ u
প া ও ন া দ া র দ ে র,p ɐ ͡ o ̯ n ɐ d ̪ ɐ ɾ d ̪ e ɾ
ক ্ ষ ে প ণ া স ্ ত ্ র র,k ʰ e p o n ɐ s t ̪ ɾ o ɾ
প ে ৗ ঁ ছ া য় ন ি ।,p e ̃ c ʰ ɐ ʲ o n i ।
য থ া স ম য়,ɟ ɔ t ̪ ʰ ɐ ʃ ɔ m ɔ ʲ
শ ি ল ্ প ম ন ্ ত ্ র ী,ʃ i l p o m ɔ n t ̪ ɾ i
প ো জ,p o ɟ
"ব ্ য ব স ্ থ া ,","b ɛ b o s t ̪ ʰ ɐ ,"
ধ া ন ক ্ র য়,d ̪ ʱ ɐ n o k ɾ o ʲ
ড ি স প ্ ল ে র,d i s p l e ɾ
চ ো র া চ া ল া ন ট ি,c o ɾ ɐ c ɐ l ɐ n t i
ভ া ল ো ই,b ʱ ɐ l o ͡ i ̯
ক া ট ছ ে ।,k ɐ t c ʰ e ।
"জ া ক ি র ,","ɟ ɐ k i ɾ ,"
স ্ ব - স ্ ব,ʃ ɔ - ʃ ʃ o
ম া স ্ ট া র প া ড় া,m ɐ s t ɐ ɾ p ɐ ɽ ɐ
স া হ ি ব,ʃ ɐ h i b
খ ে া ঁ জ ও,k ʰ e ͡ ɐ ̯ ̃ ɟ o
প ্ র ত ি ন ি ধ ি চ ু য় া ড া ঙ ্ গ া,p ɾ o t ̪ i n i d ̪ ʱ i c u ʲ ɐ d ɐ ŋ g ɐ
গ ু ন ত ে,g u n t ̪ e
ঘ ু র ল ে ও,g ʱ u ɾ l e ͡ o ̯
ব ি এ ন প ি র,b i ͡ e ̯ n p i ɾ
খ ণ ্ ড,k ʰ ɔ n d o
ন দ ী,n o d ̪ i
স া র ্ ক ি ট ে,ʃ ɐ ɾ k i t e
খ ল ন া য় ক,k ʰ ɔ l o n ɐ ʲ o k
র ো দ ে র,ɾ o d ̪ e ɾ
স হ ক র ্ ম ী স হ,ʃ ɔ h o k ɔ ɾ m i ʃ ɔ h o
প ্ র ক া শ ক,p ɾ o k ɐ ʃ o k
চ ী ন া,c i n ɐ
জ া য় গ া র,ɟ ɐ ʲ g ɐ ɾ
ও য় া ড া র,o ʷ ɐ d ɐ ɾ
ছ া য় া ট ি,c ʰ ɐ ʲ ɐ t i
হ া স া ন,h ɐ s ɐ n
"ক ু ন ু ই ,","k u n u ͡ i ̯ ,"
"ড া ল ব ু গ ঞ ্ জ ,","d ɐ l b u g ɔ n ɟ ,"
আ ল - ম ু ত ি ।,ɐ l - m u t ̪ i ।
অ প ্ র স ্ ত ু ত ও,ɔ p ɾ o s t ̪ u t ̪ o
ল া গ া র ্ দ ে ক ে,l ɐ g ɐ ɾ d ̪ e k e
ফ ু ল ।,p ʰ u l ।
দ ু ই ট ি র,d ̪ u ͡ i ̯ t i ɾ
জ া ম া ল ক ে ও,ɟ ɐ m ɐ l k e ͡ o ̯
স ্ ম ু থ,s u t ̪ ʰ o
প ্ র ে র ণ া দ া য় ক,p ɾ e ɾ o n ɐ d ̪ ɐ ʲ o k
স ত ্ য ক ে,ʃ o t ̪ t ̪ o k e
ধ া র া ব া হ ি ক ত া য়,d ̪ ʱ ɐ ɾ ɐ b ɐ h i k ɔ t ̪ ɐ ʲ
হ া য় ে ন া র া,h ɐ ʲ e n ɐ ɾ ɐ
ছ া ড় ে,c ʰ ɐ ɽ e
প ্ র থ ম ব া র,p ɾ o t ̪ ʰ o m ɔ b ɐ ɾ
অ ত ি ক ষ ্ ট ে ।,o t ̪ i k ɔ ʃ t e ।
ড ে ভ ে ল প ম ে ন ্ ট ে,d e b ʱ e l p ɔ m e n t e
দ ু প ু র,d ̪ u p u ɾ
ব ি ত র ণ,b i t ̪ ɔ ɾ ɔ n
স চ ে ষ ্ ট,ʃ ɔ c e ʃ t o
ব ে ল া ত ে ই,b e l ɐ t ̪ e ͡ i ̯
আ উ ট া র,ɐ ͡ u ̯ t ɐ ɾ
ম ্ য া ত ্ র ে ঁ দ ্ ধ া,m ɛ t ̪ ɾ e ̃ d ̪ d ̪ ʱ ɐ
গ ে ল া ম ।,g e l ɐ m ।
ব ু ল ব ু ল ি স হ,b u l b u l i ʃ ɔ h o
ম শ ি য় া র,m o ʃ i ʲ ɐ ɾ
খ া উ ল ি য় া,k ʰ ɐ ͡ u ̯ l i ʲ ɐ
গ ্ র ু প প র ্ ব ে র,g ɾ u p o p ɔ ɾ b e ɾ
স ভ া ম ঞ ্ চ,ʃ ɔ b ʱ ɐ m o n c o
ত ি ন গ ু ণ,t ̪ i n g u n
শ ্ ম শ া ন ে ।,ʃ ɔ ʃ ɐ n e ।
র ে ম ন ্ ড,ɾ e m ɔ n d o
ন র দ হ ি,n ɔ ɾ o d ̪ o h i
"প া ন ্ থ প থ ,","p ɐ n t ̪ ʰ o p ɔ t ̪ ʰ ,"
চ ু য় ে ট ে র,c u ʲ e t e ɾ
স র ্ ব ন ি ু,ʃ ɔ ɾ b o n i ͡ u ̯
ক ো - চ ে য় া র ম ্ য া ন,k o - c e ʲ ɐ ɾ m ɛ n
দ ী প ং ক র,d ̪ i p ɔ ŋ k ɔ ɾ
র া খ া ট া ই,ɾ ɐ k ʰ ɐ t ɐ ͡ i ̯
ম ো ফ া জ ্ জ ে ল,m o p ʰ ɐ ɟ ɟ e l
আ শ ে প া শ ে র,ɐ ʃ e p ɐ ʃ e ɾ
অ ম র,ɔ m ɔ ɾ
ঊ র ্ ধ ্ ব গ ত ি র,u ɾ d ̪ ʱ o g o t ̪ i ɾ
স ং স ্ ক র ণ ে র,ʃ ɔ ŋ s k ɔ ɾ ɔ n e ɾ
আ র ি ফ ু ল,ɐ ɾ i p ʰ u l
স ু ষ ্ ঠ ু,ʃ u ʃ t ʰ u
ক ে া র ্ ট ে র,k e ͡ ɐ ̯ ɾ t e ɾ
শ া ই,ʃ ɐ ͡ i ̯
ক ম ল,k ɔ m o l
ক ী ট ন া শ ক,k i t o n ɐ ʃ o k
হ ো প ও ।,h o p o ।
গ া ফ ্ ফ া র,g ɐ p ʰ p ʰ ɐ ɾ
ব ি ন া ম ূ ল ্ য ে,b i n ɐ m u l l e
এ দ ি ক ে,e d ̪ i k e
থ া ম া ন ো,t ̪ ʰ ɐ m ɐ n o
ম া ন স ম ্ ম ত,m ɐ n o ʃ ɔ m m ɔ t ̪ ɔ
ব ি ক ্ র ি,b i k ɾ i
ক ে ব ল ঝ র ছ ে,k e b o l ɟ ʱ ɔ ɾ c ʰ e
স ে খ া ন ে ।,ʃ e k ʰ ɐ n e ।
জ জ ক ো র ্ ট ে র,ɟ ɔ ɟ k o ɾ t e ɾ
দ ু র ্ ন ী ত ি ।,d ̪ u ɾ n i t ̪ i ।
চ ল া চ ল ।,c ɔ l ɐ c ɔ l ।
চ ে ত ন া ক ে,c e t ̪ o n ɐ k e
ক ো চ দ ে র,k o c o d ̪ e ɾ
র া জ ি ক ু ল,ɾ ɐ ɟ i k u l
ম ্ য া চ ে র,m ɛ c e ɾ
স ভ া গ ু ল ো,ʃ ɔ b ʱ ɐ g u l o
হ ব ি গ ঞ ্ জ ে র,h o b i g ɔ n ɟ e ɾ
প া ন গ ু ছ ি,p ɐ n g u c ʰ i
ম ো স ্ ত া ফ ি জ ু র,m o s t ̪ ɐ p ʰ i ɟ u ɾ
র ব ্ ব া ন ি র,ɾ ɔ b b ɐ n i ɾ
ন ি স র ্ গ,n i ʃ ɔ ɾ g o
ব য় র া,b ɔ ʲ ɾ ɐ
ঝ ড় গ া র,ɟ ʱ ɔ ɽ g ɐ ɾ
ই স ি র,i s i ɾ
ব ে গ ু ন ে র,b e g u n e ɾ
প ্ র খ ্ য া ত,p ɾ o k k ʰ ɐ t ̪ o
ন ন ্ দ ন প ু র,n o n d ̪ o n p u ɾ
ম া হ ম ু দ ।,m ɐ h m u d ̪ ।
আ স া দ ে র,ɐ ʃ ɐ d ̪ e ɾ
এ শ ি য় া ন,e ʃ i ʲ ɐ n
"চ ড় ,","c ɔ ɽ ,"
ত ৌ স ি ফ ।,t ̪ o ͡ u ̯ ʃ i p ʰ ।
ম া র ্ ট ি ন ো,m ɐ ɾ t i n o
অ র ু ন ্ ধ ত ী স হ,o ɾ u n d ̪ ʱ o t ̪ i ʃ ɔ h o
দ ে উ ট ি,d ̪ e ͡ u ̯ t i
ন ্ য ক ্ ক া র জ ন ক,n ɛ k k ɐ ɾ ɟ ɔ n o k
র থ ম ে ল া য়,ɾ ɔ t ̪ ʰ o m e l ɐ ʲ
ঢ ি ল ে ঢ া ল া ভ া ব ে ই,d ʱ i l e d ʱ ɐ l ɐ b ʱ ɐ b e ͡ i ̯
র া ন র ে ট ে র,ɾ ɐ n ɾ e t e ɾ
ম ্ য া ন ্ ড ে ল া ।,m ɛ n d e l ɐ ।
ট ি ক া র,t i k ɐ ɾ
ল া ই ল া ত ু ল,l ɐ ͡ i ̯ l ɐ t ̪ u l
"শ ী ত ল ক ্ ষ ্ য া ,","ʃ i t ̪ ɔ l o k k ʰ ɐ ,"
স ে ত ু ট ি,ʃ e t ̪ u t i
আ ল ে ম,ɐ l e m
প ি ক,p i k
খ া দ ্ য গ ্ র হ ণ,k ʰ ɐ d ̪ d ̪ o g ɾ o h o n
গ ু র ু,g u ɾ u
প া র ি ন ি,p ɐ ɾ i n i
ন া ঈ ম ।,n ɐ ͡ i ̯ m ।
ক ি উ র ি,k i ͡ u ̯ ɾ i
দ ু প চ া ঁ চ ি য় া,d ̪ u p ɔ c ɐ ̃ c i ʲ ɐ
ম া ত ্ র,m ɐ t ̪ ɾ o
খ ে া ঁ জ ে ন,k ʰ e ͡ ɐ ̯ ̃ ɟ e n
ম া ঠ ে ।,m ɐ t ʰ e ।
ছ ু ট ি ত ে,c ʰ u t i t ̪ e
ফ ো র - জ ি ত ে,p ʰ o ɾ - ɟ i t ̪ e
জ য় - প র া জ য়,ɟ ɔ ʲ - p ɔ ɾ ɐ ɟ ɔ ʲ
শ ো য় ে ব ে র,ʃ o ʲ e b e ɾ
ব ি আ র ট ি এ,b i ͡ ɐ ̯ ɾ t i ͡ e ̯
আ স া ই,ɐ ʃ ɐ ͡ i ̯
ব ্ র ো ঞ ্ জ প দ ক ।,b ɾ o n ɟ ɔ p ɔ d ̪ o k ।
ভ ে র ি ত া স,b ʱ e ɾ i t ̪ ɐ ʃ
"ম া ন ্ দ া র ব া ড় ি ,","m ɐ n d ̪ ɐ ɾ b ɐ ɽ i ,"
ক ি শ ো র ক ে,k i ʃ o ɾ k e
ল ে ন ে,l e n e
ন দ ী র,n o d ̪ i ɾ
ব ে র ো ব ে ন,b e ɾ o b e n
জ ি প ি উ,ɟ i p i ͡ u ̯
জ ্ ব ল ে,ɟ ɔ l e
ম া জ হ া র ু ল,m ɐ ɟ h ɐ ɾ u l
প ্ র ত ্ য ে ক ে ই,p ɾ o t ̪ t ̪ e k e ͡ i ̯
চ া ম ড় া য়,c ɐ m ɽ ɐ ʲ
"ব ্ য া ট া র ি স হ ,","b ɛ t ɐ ɾ i ʃ ɔ h o ,"
প া ও ন া দ া র র া,p ɐ ͡ o ̯ n ɐ d ̪ ɐ ɾ ɾ ɐ
উ চ ্ চ ম া ন,u c c o m ɐ n
র দ ্ র ি গ ে জ,ɾ ɔ d ̪ ɾ i g e ɟ
চ া ম র ু ল ে র,c ɐ m ɾ u l e ɾ
ম ঈ ন ু ল,m ɔ ͡ i ̯ n u l
ক ম ল া ক ে,k ɔ m l ɐ k e
ব ি ভ ি ন ্ ন ভ া ব ে,b i b ʱ i n n o b ʱ ɐ b e
ঘ ট ন া স ্ থ ল ে র,g ʱ ɔ t o n ɐ s t ̪ ʰ ɔ l e ɾ
ই উ ন ু স ে র ।,i ͡ u ̯ n u ʃ e ɾ ।
উ ন ্ ন ী ত ক র ণ ে র,u n n i t ̪ k ɔ ɾ o n e ɾ
দ ে উ ল ি য় া,d ̪ e ͡ u ̯ l i ʲ ɐ
ব ো ঝ া ই,b o ɟ ʱ ɐ ͡ i ̯
ল ক ্ ষ দ ্ ব ী প ক ে,l o k k ʰ o d ̪ d ̪ i p ɔ k e
