,Inflected_Word,POS
3108,বিবি,NNP
3109,আউর,NNP
3110,গুলাম,NNP
3111,পরিচালনার,VB
3112,জন্য,IN
3113,ফিল্মফেয়ার,NNP
3114,পুরস্কার,NNP
3115,পান,VB
3116,এছাড়াও,RB
3117,তিনি,PRP
3118,লায়লা,NNP
3119,মাজনু,NNP
3120,নাম,NN
3121,চলচ্চিত্রে,NN
3122,অভিনয়,VB
3123,করেন,VB
3124,দারার,NNP
3125,ধারাবাহিক,JJ
3126,চিত্রনাট্য,NN
3127,তড়িৎচৌম্বক,JJ
3128,বলের,NN
3129,শক্তি,NN
3130,সরবরাহকারী,NN
3131,মূল,RB
3132,কণিকাও,NN
3133,ফোটন,NN
3134,ফোটন,NNP
3135,তরঙ্গ,NNS
3136,এবং,CC
3137,কণা,NNS
3138,উভয়,DT
3139,ধর্মই,VBP
3140,প্রদর্শন,VB
3141,করে,VB
3142,ফোটনের,NNS
3143,আধুনিক,JJ
3144,ধারণা,NN
3145,আলবার্ট,NNP
3146,আইনস্টাইন,NNP
3147,ধীরে,RB
3148,ধীরে,RB
3149,উন্নয়ন,VB
3150,করেন,VB
3151,তিনি,PRP
3152,পরীক্ষামূলক,JJ
3153,পর্যবেক্ষণ,NNS
3154,ব্যাখ্যার,VB
3155,জন্য,JJ
3156,এই,DT
3157,ধারণার,NN
3158,প্রবর্তন,VB
3159,করেন,VB
3160,নামকরণ,VBG
3161,১৯০০,NUM
3162,সালে,NN
3163,ম্যাক্স,NNP
3164,প্ল্যাংক,NNP
3165,কৃষ্ণবস্তু,NN
3166,বিকিরণের,NN
3167,ওপর,JJ
3168,কাজ,VB
3169,করছিলেন,VB
3170,ভৌত,RB
3171,বৈশিষ্ট্যাবলী,unk
3172,ফোটন,unk
3173,ভরহীন,unk
3174,তড়িৎ,NN
3175,নিরপেক্ষ,RB
3176,স্তিতিশীল,unk
3177,সুস্থিত,JJ
3178,ফোটন,unk
3179,এর,PRP
3180,দুইটি,unk
3181,সম্ভাব্য,JJ
3182,সমবর্তন,NN
3183,দশা,NN
3184,রয়েছে,VB
3185,এটি,DT
3186,আসলে,RB
3187,একটি,DT
3188,ঘূর্ণন,VBG
3189,কোয়ান্টাম,NN
3190,সংখ্যা,NN
3191,উভয়,DT
3192,ক্ষেত্রে,RB
3193,সম্ভাব্য,JJ
3194,তরঙ্গ,NN
3195,ভেক্টরদ্বয়ের,NNS
3196,অবস্থান,JJ
3197,ত্রিমাত্রিক,JJ
3198,তবে,RB
3199,আইজ্যাক,NNP
3200,নিউটনের,NNP
3201,প্রভাব,NN
3202,এর,PRP
3203,ফলে,DT
3204,কণা,NN
3205,মডেলের,NN
3206,বিশেষ,JJ
3207,গুরুত্ব,NN
3208,রয়েই,VB
3209,যায়,VB
3210,বিডিনিউজ,NNP
3211,নামে,VB
3212,প্রতিষ্ঠানটির,NN
3213,জন্ম,VBN
3214,২০০৫,NUM
3215,সালে,NN
3216,বার্তা,NN
3217,সংস্থারূপে,NN
3218,২০০৬,NUM
3219,সালে,NN
3220,এর,PRP
3221,মালিকানা,NN
3222,ও,CC
3223,ব্যবস্থাপনা,NN
3224,বদলের,VBN
3225,পর,IN
3226,তা,JJ
3227,খোল,NNP
3228,নলচে,NNP
3229,বদলে,VBN
3230,যায়,VB
3231,নতুন,JJ
3232,আঙ্গিকে,NN
3233,এর,PRP
3234,পরিচয়,VB
3235,হয়,VB
3236,বিডিনিউজ,NN
3237,নামে,NN
3238,ফেসবুকে,NNP
3239,বিডিনিউজ,NN
3240,অনুসরণ,VBP
3241,করেন,VB
3242,৮৭,NUM
3243,লাখ,JJ
3244,মানুষ,NN
3245,প্রতিষ্ঠানটি,NN
3246,পৃথিবীর,NN
3247,বিভিন্ন,JJ
3248,দেশে,NNS
3249,দোকান,NNS
3250,পরিচালনা,VB
3251,করে,VB
3252,ওয়ালমার্ট,NNP
3253,বিশ্বের,NN
3254,সর্ববৃহৎ,JJS
3255,খুচরা,NN
3256,বিক্রেতা,NN
3257,প্রতিষ্ঠান,NN
3258,এছাড়া,RB
3259,আয়ের,NN
3260,দিক,NN
3261,থেকেও,IN
3262,এ,DT
3263,প্রতিষ্ঠানের,NN
3264,এটি,PRP
3265,সবচেয়ে,JJS
3266,বড়,JJ
3267,আর্জেন্টিনা,NNP
3268,ব্রাজিল,NNP
3269,কানাডা,NNP
3270,এবং,CC
3271,পুয়ের্তো,NNP
3272,রিকোতেও,NNP
3273,এর,PRP
3274,দোকান,NNS
3275,রয়েছে,VB
3276,এর,PRP
3277,গভীরতা,NN
3278,প্রায়,IN
3279,১১,NUM
3280,০০০,NUM
3281,মিটার,NNS
3282,৩৬,NUM
3283,০০০,NUM
3284,ফুট,NNS
3285,প্রকৃত,JJ
3286,গভীরতা,NN
3287,এর,PRP
3288,থেকে,IN
3289,১০০,NUM
3290,মিটার,NNS
3291,কম,JJR
3292,বেশি,NN
3293,হতে,VB
3294,পারে,VB
3295,চ্যালেঞ্জার,NNP
3296,ডিপের,NNP
3297,সবচেয়ে,JJ
3298,কাছের,JJS
3299,স্থলভাগটির,NN
3300,নাম,NN
3301,ফাইস,NNP
3302,দ্বীপ,NNP
3303,জন,JJ
3304,অ্যাডামসের,NNP
3305,পর,JJ
3306,থেকে,IN
3307,যুক্তরাষ্ট্রের,NNP
3308,সকল,DT
3309,রাষ্ট্রপতিই,NNS
3310,এই,DT
3311,বাসভবনে,NN
3312,ছিলেন,VB
3313,এই,DT
3314,ভবনের,NN
3315,স্থাপতি,NN
3316,ছিলেন,VB
3317,জেমস,NNP
3318,হোবান,NNP
3319,তিনি,PRP
3320,আয়ারল্যান্ডের,NNP
3321,নাগরিক,NN
3322,তিনি,PRP
3323,ভবনটির,NN
3324,সামনে,NN
3325,দুইটি,CD
3326,স্তম্ভসারি,NNS
3327,তৈরি,VBD
3328,করেছিলেন,VB
3329,প্রায়,RB
3330,সাথে,RB
3331,সাথেই,RB
3332,পুনঃনির্মাণ,NN
3333,আরম্ভ,VB
3334,হয়,VB
3335,১৮১৭,NUM
3336,সালের,NN
3337,অক্টোবরে,NNP
3338,জেমস,NNP
3339,মন্‌রো,NNP
3340,এ,JJ
3341,আংশিক,RB
3342,নির্মিত,VBN
3343,ভবনে,NN
3344,ওঠেন,VB
3345,এদিকে,PRP
3346,ভবনের,NN
3347,নির্মাণ,NN
3348,কার্যক্রম,NN
3349,চলতে,VB
3350,থাকে,VB
3351,ওভাল,NNP
3352,অফিস,NNP
3353,পরবর্তিতে,RB
3354,ভবনের,NN
3355,সম্প্রসারণের,NN
3356,কারণে,JJ
3357,অন্যত্র,VB
3358,সরিয়ে,VB
3359,নেয়া,VB
3360,হয়,VB
3361,তৃতীয়,JJ
3362,তলার,NN
3363,চিলেকোঠাটি,NN
3364,১৯২৭,NUM
3365,সালে,NN
3366,বাসযোগ্য,JJ
3367,করে,VB
3368,তৈরি,VB
3369,করা,VB
3370,হয়,VB
3371,কলকাতার,NNP
3372,মহানাগরিক,NNP
3373,মহানাগরিক,NNP
3374,হচ্ছেন,VB
3375,কলকাতা,NNP
3376,পৌরসংস্থার,NN
3377,মেয়র,NN
3378,কলকাতার,NNP
3379,বর্তমান,JJ
3380,মহানাগরিক,NN
3381,হলেন,VB
3382,শোভন,NNP
3383,চট্টোপাধ্যায়,NNP
3384,১৯২৪,NUM
3385,সালে,NN
3386,চিত্তরঞ্জন,NNP
3387,দাশ,NNP
3388,কলকাতা,NNP
3389,পৌরসংস্থার,NNP
3390,প্রথম,JJ
3391,মেয়র,NN
3392,নির্বাচিত,VB
3393,হন,VB
3394,১৯২৪,NUM
3395,সাল,NN
3396,থেকে,VB
3397,১৯৪৮,NUM
3398,সাল,NN
3399,পর্যন্ত,JJ
3400,মোট,NN
3401,চব্বিশ,JJ
3402,জন,JJ
3403,কলকাতার,NNP
3404,মেয়র,NN
3405,হয়েছিলেন,VB
3406,এই,DT
3407,আইন,NN
3408,মোতাবেক,VBG
3409,কলকাতার,NNP
3410,শেষ,RB
3411,মহানাগরিক,NN
3412,হলেন,VB
3413,শ্যামসুন্দর,NNP
3414,গুপ্ত,NNP
3415,কলকাতা,NNP
3416,পৌরসংস্থা,NNP
3417,আইন,NNP
3418,১৯৮০,NUM
3419,কার্যকর,NN
3420,হয়,VB
3421,১৯৮৪,NUM
3422,সালের,NN
3423,৪,NUM
3424,জানুয়ারি,NNP
3425,এই,DT
3426,আইন,NN
3427,অনুযায়ী,VBG
3428,কলকাতার,NNP
3429,প্রথম,JJ
3430,মহানাগরিক,NN
3431,হন,VB
3432,কমল,NNP
3433,কুমার,NNP
3434,বসু,NNP
3435,হ্যারিস,NNP
3436,কাউন্টির,NNP
3437,কাউন্টি,JJ
3438,সিট,NN
3439,হল,VB
3440,হিউস্টন,NNP
3441,তবে,RB
3442,শহর,NN
3443,হিসেবে,IN
3444,এটি,PRP
3445,১৮৩৭,NUM
3446,সালের,NN
3447,৫ই,NUM
3448,জুন,NNP
3449,গঠিত,VB
3450,হয়,VB
3451,তিনি,PRP
3452,ছিলেন,VB
3453,টেক্সাসের,NNP
3454,অধিবাসী,NN
3455,তিনি,PRP
3456,স্যাকরার,NNP
3457,দোকানে,NN
3458,কাজ,VB
3459,করতেন,VB
3460,১৪১৯,NUM
3461,থেকে,IN
3462,১৪৩৪,NUM
3463,পর্যন্ত,JJ
3464,তাঁর,PRP
3465,ব্যাপারে,IN
3466,তেমন,JJ
3467,কোনো,PRP
3468,তথ্য,NN
3469,পাওয়া,VB
3470,যায়নি,VB
3471,সেখানে,RB
3472,তিনি,PRP
3473,কমপক্ষে,JJS
3474,১৪৪৪,NUM
3475,সাল,NN
3476,অবধি,IN
3477,ছিলেন,VB
3478,১৪৪০,NUM
3479,সালে,NN
3480,তিনি,PRP
3481,ছাপাকল,NNS
3482,তৈরি,VB
3483,পদ্ধতির,NN
3484,উপর,JJ
3485,তাঁর,PRP
3486,গবেষণা,NN
3487,প্রকাশ,VB
3488,করেন,VB
3489,১৪৫৫,NUM
3490,সালে,NN
3491,ইয়োহান,NNP
3492,ফাউস্টের,NNP
3493,কাছে,JJ
3494,তিনি,PRP
3495,অর্থ,NN
3496,আত্মসাত,NN
3497,মামলায়,NN
3498,হেরে,VB
3499,যান,VB
3500,১৪৫৭,NUM
3501,সালে,NN
3502,বাইবেল,NNP
3503,ছাপা,VB
3504,হয়,VB
3505,১৪৬৮,NUM
3506,সালের,NN
3507,৩রা,NUM
3508,ফেব্রুয়ারি,NN
3509,তিনি,PRP
3510,মারা,VB
3511,যান,VB
3512,তিনি,PRP
3513,১৫২৯,NUM
3514,১৫৩৩,NUM
3515,পর্যন্ত,JJ
3516,অউভনিআ,NNP
3517,বিশ্বববিদ্যালয়ের,NNP
3518,ছাত্র,NN
3519,ছিলেন,VB
3520,তিনি,PRP
3521,প্রথম,JJ
3522,শব,NN
3523,ব্যাবচ্চেদ,VB
3524,করেন,VB
3525,তিনি,PRP
3526,১৫৩৭,NUM
3527,সালে,NN
3528,আর,NNP
3529,রাজির,NNP
3530,উপর,JJ
3531,গবেষণা,NN
3532,করেন,VB
3533,তিনি,PRP
3534,শারীরসংস্থানবিদ্যার,NN
3535,জনক,NN
3536,তিনি,PRP
3537,১৫৪৪,NUM
3538,সালে,NN
3539,আন্নেন,NNP
3540,হ্যামকে,NNP
3541,বিয়ে,VB
3542,করেন,VB
3543,১৫৬৪,NUM
3544,সালে,NN
3545,গ্রিসের,NNP
3546,Zacythus,NNP
3547,শহরে,NN
3548,তিনি,PRP
3549,মারা,VB
3550,যান,VB
3551,জনসংখ্যার,NN
3552,বিচারে,VBG
3553,ভারতে,NNP
3554,মুসলমানদের,NNP
3555,স্থান,NN
3556,হিন্দুদের,NNP
3557,ঠিক,JJ
3558,পরেই,IN
3559,ভারতের,NNP
3560,জনসংখ্যার,NN
3561,মোট,RB
3562,১৩,NUM
3563,৪,NUM
3564,শতাংশ,NN
3565,মুসলমান,NNS
3566,ভারতে,NNP
3567,মুসলমান,JJ
3568,জনসংখ্যা,NN
3569,সমগ্র,RB
3570,বিশ্বের,NN
3571,নিরিখে,JJ
3572,তৃতীয়,JJ
3573,বৃহত্তম,JJS
3574,ভারত,NNP
3575,বিশ্বের,NN
3576,বৃহত্তম,JJS
3577,সংখ্যালঘু,RB
3578,মুসলমান,JJ
3579,অধ্যুষিত,RB
3580,রাষ্ট্রও,NN
3581,বটে,JJ
3582,সেযুগে,NN
3583,মালাবার,NNP
3584,অঞ্চলের,NNS
3585,বন্দরগুলিতে,NNS
3586,আরব,JJ
3587,বণিকদের,NNS
3588,প্রায়শই,JJ
3589,যাতায়াত,VB
3590,ছিল,VB
3591,কারণ,IN
3592,এই,DT
3593,বন্দরগুলি,NNS
3594,ছিল,VB
3595,দক্ষিণ,NNP
3596,পূর্ব,RB
3597,এশিয়ার,NNP
3598,বন্দরগুলির,NNS
3599,প্রধান,JJ
3600,যোগসূত্র,NN
3601,উল্লেখ্য,NN
3602,পেরুমলকেই,NNP
3603,প্রথম,JJ
3604,ভারতীয়,JJ
3605,মুসলমান,NNP
3606,মনে,VB
3607,করা,VB
3608,হয়,VB
3609,এই,DT
3610,সকল,PDT
3611,নব্য,JJ
3612,ধর্মান্তরিতেরা,NNS
3613,মাপ্পিলা,NNP
3614,সম্প্রদায়ভুক্ত,NN
3615,হয়েছিলেন,VB
3616,আরব,JJ
3617,বণিকদের,NNS
3618,সঙ্গে,IN
3619,এই,DT
3620,সম্প্রদায়ের,NN
3621,বৈবাহিক,JJ
3622,সম্পর্কও,NNS
3623,স্থাপিত,VB
3624,হয়েছিল,VB
3625,সিন্ধু,NNP
3626,উমায়াদ,NNP
3627,খিলাফতের,NNP
3628,পূর্বতম,JJ
3629,প্রদেশে,NN
3630,পরিণত,VB
3631,হয়,VB
3632,আদিনা,NNP
3633,মসজিদ,NNP
3634,আদিনা,NNP
3635,মসজিদ,NNP
3636,মালদহে,NNP
3637,অবস্থিত,VB
3638,এটি,PRP
3639,সিরিয়ার,NNP
3640,উমাইয়া,NNP
3641,মসজিদের,NNP
3642,আদলে,VB
3643,তৈরি,VB
3644,এটি,PRP
3645,তৎকালীন,DT
3646,দক্ষিণ,NNP
3647,এশিয়ার,NNP
3648,বৃহত্তম,JJS
3649,মসজিদ,NN
3650,এর,PRP
3651,বিপরীতে,NN
3652,আছে,VB
3653,আদিনা,NNP
3654,মৃগদাব,NNP
3655,প্রতিষ্ঠা,VBN
3656,ইলিয়াসশাহী,NNP
3657,সুলতান,NNP
3658,সিকেন্দার,NNP
3659,শাহ,NNP
3660,১৩৬৯,NUM
3661,সালে,NN
3662,তৈরি,VB
3663,করান,VB
3664,গঠন,NN
3665,এই,DT
3666,মসজিদ,NN
3667,উত্তর,JJ
3668,দক্ষিণে,NN
3669,৫২৪,NUM
3670,ফুট,NNS
3671,লম্বা,JJ
3672,ও,CC
3673,৩২২,NUM
3674,ফুট,NNS
3675,চওড়া,JJ
3676,এতে,PRP
3677,২৬০টি,NUM
3678,থাম,NNS
3679,ও,CC
3680,৩৮৭টি,NUM
3681,গম্বুজ,NNS
3682,আছে,VB
3683,এই,DT
3684,মসজিদের,NN
3685,কিছু,DT
3686,উপাদান,NNS
3687,অমুসলিম,JJ
3688,শিল্পরীতি,NN
3689,থেকে,IN
3690,নেওয়া,VB
3691,বলে,VB
3692,মনে,VB
3693,করা,VB
3694,হয়,VB
3695,সাঁওতাল,NNP
3696,বিদ্রোহ,NNP
3697,ইংরেজ,JJ
3698,শাসনকালে,NN
3699,জীতুর,NNP
3700,নেতৃত্বে,NN
3701,সাঁওতালরা,NNP
3702,বিদ্রোহ,VB
3703,করে,VB
3704,কিন্তু,CC
3705,দ্রুততার,RB
3706,সাথে,RB
3707,তৎকালীন,JJ
3708,ভুস্বামী,JJ
3709,এই,DT
3710,বিদ্রোহ,NN
3711,দমন,VB
3712,করেন,VB
3713,বর্তমানে,JJ
3714,এই,IN
3715,শ্মশানে,NN
3716,দাহকার্যে,NN
3717,বৈদ্যুতিক,JJ
3718,চুল্লি,NNS
3719,ব্যবহার,VB
3720,করা,VB
3721,হয়,VB
3722,কেওড়াতলা,NNP
3723,মহাশ্মশানের,NN
3724,সর্বজনীন,JJ
3725,শ্মশানকালীর,NN
3726,পূজা,NN
3727,প্রসিদ্ধ,JJ
3728,সেই,IN
3729,থেকেই,RB
3730,এই,DT
3731,জায়গাটির,NN
3732,নাম,NN
3733,হয়,VB
3734,কেওড়াতলা,NNP
3735,এই,DT
3736,সময়,NN
3737,কালীঘাট,NNP
3738,মন্দির,NN
3739,সংলগ্ন,JJ
3740,একটি,DT
3741,ঘাটে,WDT
3742,শবদাহ,NN
3743,করা,VB
3744,হত,VB
3745,বর্তমানে,JJ
3746,এই,DT
3747,ঘাটটিই,NN
3748,তর্পনঘাট,NNP
3749,নামে,VB
3750,পরিচিত,VB
3751,কিন্তু,CC
3752,এখানে,RB
3753,শবদাহ,NN
3754,করা,VB
3755,ছিল,VB
3756,অত্যন্ত,RB
3757,অসুবিধা,JJ
3758,জনক,NN
3759,শবদাহের,NN
3760,সময়,NN
3761,কালো,JJ
3762,ধোঁয়ায়,NN
3763,মন্দির,NN
3764,ও,CC
3765,মন্দির,NN
3766,সংলগ্ন,NN
3767,ভরে,VB
3768,যেত,VB
3769,কলকাতা,NNP
3770,পৌরসংস্থা,NNP
3771,স্থাপিত,NN
3772,হওয়ার,VB
3773,পর,IN
3774,এই,DT
3775,ঘাটে,NN
3776,শবদাহ,NN
3777,বন্ধ,VB
3778,হয়ে,RB
3779,যায়,VB
3780,তবে,RB
3781,কেওড়াতলা,NNP
3782,শ্মশানের,NN
3783,অবস্থা,NN
3784,এককালে,RB
3785,অত্যন্ত,RB
3786,খারাপ,JJ
3787,ছিল,VB
3788,শ্মশানযাত্রীদের,NNS
3789,বিশ্রামেরও,VB
3790,উপযুক্ত,JJ
3791,জায়গা,NN
3792,ছিল,VB
3793,না,VB
3794,ইতিহাস,NN
3795,এই,DT
3796,এলাকা,NN
3797,জর্ডানের,NNP
3798,অংশ,NN
3799,ছিল,VB
3800,১৯৬৭,NUM
3801,সালে,NN
3802,ইসরায়েল,NNP
3803,এটি,PRP
3804,দখল,VB
3805,করে,VB
3806,নেয়,VB
3807,পরে,RB
3808,এটি,PRP
3809,প্যালেস্টাইনের,NNP
3810,অংশ,NN
3811,হয়,VB
3812,এখনো,RB
3813,বহুলাংশ,JJS
3814,ইসরায়েলের,NNP
3815,শাসনাধীন,NN
3816,তিনি,PRP
3817,বিবিধ,JJ
3818,বিষয়ে,NNS
3819,দক্ষ,VB
3820,ছিলেন,VB
3821,বিজ্ঞান,VB
3822,বিশেষ,RB
3823,করে,VB
3824,পদার্থবিজ্ঞান,NNS
3825,বিষয়ে,IN
3826,তার,PRP
3827,অবদানসমূহ,NNS
3828,বেশ,RB
3829,উল্লেখযোগ্য,JJ
3830,তিনি,PRP
3831,তড়িৎ,NN
3832,সংক্রান্ত,VBN
3833,বিবিধ,JJ
3834,বিষয়ে,NNS
3835,তার,PRP
3836,অবদান,VB
3837,রাখেন,VB
3838,বেঞ্জামিন,NNP
3839,ফ্রাঙ্কলিন,NNP
3840,ম্যাসাচুসেটস,NNP
3841,বের,RB
3842,বস্টনে,NNP
3843,জন্ম,VB
3844,নেন,VB
3845,তিনি,PRP
3846,দাদা,NN
3847,জেমসের,NNP
3848,সাথে,IN
3849,লন্ডনে,NNP
3850,New,NNP
3851,England,NNP
3852,Quralt,NNP
3853,পত্রিকা,NN
3854,চালাতেন,VB
3855,পরে,RB
3856,ফিলাদেলফিয়া,NNP
3857,পালিয়ে,VB
3858,যান,VB
3859,তিনি,PRP
3860,১৭৩১,NUM
3861,সালে,NN
3862,সালে,NN
3863,ফিলাদেলফিয়া,NNP
3864,পাব্লিক,NNP
3865,লাইব্রেরি,NNP
3866,প্রতিষ্ঠা,VB
3867,করেন,VB
3868,১৭৩২,NUM
3869,সালে,NN
3870,পুওর,NNP
3871,রিচারড,NNP
3872,আলামানক,NNP
3873,চালু,VB
3874,করেন,VB
3875,১৭৪৭,NUM
3876,সালে,NN
3877,ধনাত্মক,JJ
3878,ও,CC
3879,ঋণাত্মক,JJ
3880,বিদ্যুৎ,NN
3881,মতবাদ,NN
3882,প্রচার,VB
3883,করেন,VB
3884,যা,WDT
3885,উচ্চপ্রশংসিত,RB
3886,হয়,VB
3887,তিনি,PRP
3888,যাজক,NN
3889,ছিলেন,VB
3890,তিনি,PRP
3891,কার্বন,NN
3892,ডাই,NN
3893,অক্সাইড,NN
3894,আবিষ্কার,VB
3895,করেন,VB
3896,তিনি,PRP
3897,১৭৭৪,NUM
3898,সালের,NN
3899,১লা,NUM
3900,আগস্ট,NNP
3901,অক্সিজেন,NNP
3902,তৈরি,VB
3903,করেন,VB
3904,১৭৯১,NUM
3905,সালে,NN
3906,লন্ডন,NNP
3907,থেকে,IN
3908,বিতাড়িত,VB
3909,হন,VB
3910,তিনি,PRP
3911,এর,RB
3912,পর,RB
3913,কার্বন,NN
3914,মনোক্সাইড,NN
3915,তৈরি,VB
3916,করেন,VB
3917,১৮০৪,NUM
3918,সালে,NN
3919,৬ই,NUM
3920,ফেব্রুয়ারি,NNP
3921,মারা,VB
3922,যান,VB
3923,তিনি,PRP
3924,১৭৬৯,NUM
3925,সালে,NN
3926,বাষ্পীয়,NN
3927,ইঞ্জিন,NN
3928,আবিষ্কার,VB
3929,করেন,VB
3930,১৮১৯,NUM
3931,সালে,NN
3932,১৯শে,NUM
3933,আগস্ট,NNP
3934,তিনি,PRP
3935,মারা,VB
3936,যান,VB
3937,যুবক,JJ
3938,বয়সেই,NN
3939,হ্যানেমান,NNP
3940,বিভিন্ন,NN
3941,ভাষায়,NNS
3942,দক্ষতা,VBD
3943,অর্জন,NN
3944,করেন,VB
3945,চিকিৎসা,JJ
3946,বিদ্যা,NN
3947,ছিল,VB
3948,তার,PRP
3949,প্রিয়,JJ
3950,বিষয়,NN
3951,মেডিসিন,NN
3952,শিক্ষার্থীদের,NNS
3953,জন্য,IN
3954,লিপজিগ,NNP
3955,না,DT
3956,ছিল,VB
3957,ক্লিনিক,NN
3958,না,DT
3959,ছিল,VB
3960,হাসপাতাল,NN
3961,হ্যানেমান,NNP
3962,লিপজিগ,NNP
3963,এ,JJ
3964,ঔষধ,NN
3965,নিয়ে,IN
3966,দুই,CD
3967,বছর,NNS
3968,পড়াশোনা,VBD
3969,করেন,VB
3970,এভাবেই,RB
3971,হানেম্যান,NNP
3972,এর,PRP
3973,নিয়মিত,JJ
3974,ছাত্রজীবনের,NN
3975,ইতি,NN
3976,ঘটে,VB
3977,এখানে,RB
3978,তিনি,PRP
3979,ও,CC
3980,স্টোয়ার্কের,NNP
3981,লেখাগুলিা,NNS
3982,সম্পর্কে,IN
3983,ভালভাবে,JJR
3984,জানতে,VB
3985,পারেন,VB
3986,একই,JJ
3987,সাথে,RB
3988,হাতে,JJ
3989,কলমে,JJ
3990,বাইরের,NN
3991,রোগী,NN
3992,দেখার,VB
3993,ও,CC
3994,ব্যাপক,JJ
3995,পড়াশুনার,NN
3996,সুযোগ,NN
3997,পান,VB
3998,তিনি,PRP
3999,একজন,DT
4000,নামকরা,JJ
4001,অনুবাদক,NN
4002,ছিলেন,VB
4003,নিজেও,PRF
4004,তা,JJ
4005,থেকে,IN
4006,ব্যাপক,JJ
4007,জ্ঞান,NN
4008,লাভ,VB
4009,করেন,VB
4010,২,NUM
4011,রসায়ন,NN
4012,ও,CC
4013,চিকিৎসা,NN
4014,বিদ্যার,NN
4015,ওপর,IN
4016,লেখা,VB
4017,৭০টি,NUM
4018,মৌলিক,JJ
4019,রচনা,NN
4020,এ,JJ
4021,ধরনের,JJ
4022,শব্দের,NNS
4023,প্রচলন,NN
4024,উত্তর,NNP
4025,ভারতের,NNP
4026,বিভিন্ন,JJ
4027,ভাষাতেও,NNS
4028,প্রচলিত,JJ
4029,ছিলো,VB
4030,১৮০০,NUM
4031,দশকের,NN
4032,শুরুর,JJ
4033,দিকে,IN
4034,দ্বীন,NNP
4035,মোহাম্মদই,NNP
4036,স্টিম,NN
4037,বাথের,NN
4038,প্রচলন,VB
4039,ঘটান,VB
4040,সেসময়,NN
4041,এক,DT
4042,প্রকার,NN
4043,থেরাপিমূলক,JJ
4044,ম্যাসেজ,NN
4045,হিসেবে,IN
4046,চাম্পি,NN
4047,ব্যবহৃত,VB
4048,হতো,VB
4049,পদার্থের,NN
4050,প্রকৃতি,NN
4051,ও,CC
4052,রূপান্তর,NN
4053,সম্বন্ধে,RB
4054,দার্শনিক,JJ
4055,প্রচেষ্টা,NNS
4056,ব্যর্থ,VB
4057,হয়,VB
4058,এছাড়া,RB
4059,আলকেমির,NN
4060,বৈজ্ঞানিক,JJ
4061,ব্যাখ্যাও,NN
4062,ভুল,JJ
4063,প্রমাণিত,VB
4064,হল,VB
4065,পরমাণুবাদের,NN
4066,ইতিহাস,NN
4067,রচিত,VB
4068,হয়েছিল,VB
4069,প্রাচীন,JJ
4070,গ্রিস,NNP
4071,এবং,CC
4072,প্রাচীন,JJ
4073,ভারতে,NNP
4074,এই,DT
4075,উদ্যান,NN
4076,শিবপুর,NNP
4077,বোটানিক্যাল,NNP
4078,গার্ডেন,NNP
4079,নামেও,IN
4080,পরিচিত,VB
4081,সেই,JJ
4082,সময়,NN
4083,এই,DT
4084,উদ্যানের,NN
4085,নাম,VB
4086,ছিল,VB
4087,রয়্যাল,NNP
4088,ইন্ডিয়ান,NNP
4089,বোটানিক্যাল,NNP
4090,গার্ডেন,NNP
4091,গাছটির,NN
4092,পরিধি,NN
4093,৩৩০,NUM
4094,মিটার,NN
4095,উদ্যানের,NN
4096,মধ্যে,RB
4097,যাতায়াতের,JJ
4098,জন্য,JJ
4099,রয়েছে,VB
4100,১৭,NUM
4101,কিলোমিটার,NNS
4102,পাকা,JJ
4103,রাস্তাও,NNS
4104,১৫,NUM
4105,সদস্যের,NNS
4106,একটি,DT
4107,পরিচালক,NNS
4108,পর্ষদ,NN
4109,নিয়মিত,RB
4110,উদ্যানের,NN
4111,কাজকর্ম,NN
4112,দেখাশোনা,VB
4113,করছেন,VB
4114,১৭৬৫,NUM
4115,থেকে,IN
4116,১৭৬৮,NUM
4117,পর্যন্ত,JJ
4118,গ্যোতে,NNP
4119,লাইপসিক,NNP
4120,বিশ্ববিদ্যালয়ে,NNP
4121,অধ্যয়ন,VB
4122,করেন,VB
4123,১৭৭২,NUM
4124,খ্রিস্টাব্দে,NN
4125,ভেৎস্লারে,NNP
4126,অবস্থান,NN
4127,এ,JJ
4128,সময়ে,NN
4129,তিনি,PRP
4130,প্রহসন,NN
4131,কবিতা,NNS
4132,এবং,CC
4133,র,VB
4134,ক্লাভিগো,NN
4135,রচনা,VB
4136,করেন,VB
4137,এ,JJ
4138,সময়ে,NN
4139,ফাউস্ট,NNP
4140,এগমন্ট,NNP
4141,এবং,CC
4142,ভের্থর,NNP
4143,রচনা,VB
4144,শুরু,VB
4145,করেন,VB
4146,এ,JJ
4147,পর্যায়ে,NN
4148,লিলি,NNP
4149,শোয়েনমানের,NNP
4150,সঙ্গে,TO
4151,তাঁর,PRP
4152,বিয়ে,VB
4153,স্থির,JJ
4154,হয়,VB
4155,১৭৭৬,NUM
4156,খ্রিস্টাব্দে,NN
4157,মন্ত্রিপরিষদের,NNP
4158,সদস্য,NN
4159,হিসেবে,IN
4160,নিযুক্তি,VB
4161,লাভ,VB
4162,করেন,VB
4163,এ,JJ
4164,সময়ে,NN
4165,শার্লোট,NNP
4166,ফন,NNP
4167,স্টেইনের,NNP
4168,সঙ্গে,IN
4169,তার,PRP
4170,প্রণয়,VB
4171,হয়,VB
4172,ইল,NNP
4173,মেনাউতে,NNP
